artists,uri
10CM,spotify:artist:6zn0ihyAApAYV51zpXxdEp
ADOY,spotify:artist:64sY7LsUjNE3ifONkftTXC
Agust D,spotify:artist:5RmQ8k4l3HZ8JoPb4mNsML
Anuv Jain,spotify:artist:4gdMJYnopf2nEUcanAwstx
Arijit Singh,spotify:artist:4YRxDV8wJFPHPTeXepOstw
BETWEEN FRIENDS,spotify:artist:2HkSsS8O2U2gPhnCGVN5vn
BIBI,spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
Beach House,spotify:artist:56ZTgzPBDge0OvCGgMO3OY
Bruno Major,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8
"Car, the garden",spotify:artist:7c1HgFDe8ogy5NOZ1ANCJQ
Carla Bruni,spotify:artist:1HVwzNriKEjaeE06okqSpx
Cavetown,spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8
Cigarettes After Sex,spotify:artist:1QAJqy2dA3ihHBFIHRphZj
Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Conan Gray,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea
Crush,spotify:artist:6aLdhHUqgdKE86xbtNmY8g
DANIEL,spotify:artist:1eZ0sjIrNuSNiZSfjTYgi6
DEAN,spotify:artist:3eCd0TZrBPm2n9cDG6yWfF
DPR IAN,spotify:artist:2o8gT0fQmFxGNbowbdgeZe
DPR LIVE,spotify:artist:0siBQaURCli5wn2lqv8WZg
Dhruv,spotify:artist:70NcAr4ZtA3FAqU16iQZSb
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Epik High,spotify:artist:5snNHNlYT2UrtZo5HCJkiw
Faime,spotify:artist:6bNCZ9mUA7Qpg8Vu6WGox4
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM
Fujii Kaze,spotify:artist:6bDWAcdtVR3WHz2xtiIPUi
HEIZE,spotify:artist:5dCvSnVduaFleCnyy98JMo
HONNE,spotify:artist:0Vw76uk7P8yVtTClWyOhac
HYBS,spotify:artist:4mr4X9nJC8DPlNukWbgAaI
HYUKOH,spotify:artist:57okaLdCtv3nVBSn5otJkp
Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2
Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS
IU,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU
JANNABI,spotify:artist:2SY6OktZyMLdOnscX3DCyS
JIN,spotify:artist:5vV3bFXnN6D6N3Nj4xRvaV
JUNNY,spotify:artist:0lgENJQUkqkDbpsTYEayOr
Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3
Jimin,spotify:artist:1oSPZhvZMIrWW5I41kPkkY
Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq
Jung Kook,spotify:artist:6HaGTQPmzraVmaVxvz6EUc
Junggigo,spotify:artist:6zTIxEXFWjoNu2VXauDITb
Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM
Keepitinside,spotify:artist:78cc6k0CLZpWYSO4x5xnro
Lamp,spotify:artist:0rFHElzeddB9ymDjgpBENX
Laufey,spotify:artist:7gW0r5CkdEUMm42w9XpyZO
Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
LeeHi,spotify:artist:7cVZApDoQZpS447nHTsNqu
Matt Maltese,spotify:artist:12j6dJrPXanCBwY599pZxf
Megan Thee Stallion,spotify:artist:181bsRPaVXVlUKXrxwZfHK
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
My Chemical Romance,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb
Niall Horan,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
Oho,spotify:artist:6Tx3dqFSG55PraSMnoMxoo
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO
PinkPantheress,spotify:artist:78rUTD7y6Cy67W1RVzYs7t
Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7
RM,spotify:artist:2auC28zjQyVTsiZKNgPRGs
Rad Museum,spotify:artist:6UdKtISMXYKSR8jcgtFePo
Ricky Montgomery,spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw
SE SO NEON,spotify:artist:07OePkse2fcvU9wlVftNMl
SUGA,spotify:artist:0ebNdVaOfp6N0oZ1guIxM8
Sabrina Carpenter,spotify:artist:74KM79TiuVKeVCqs8QtB0B
Silk Sonic,spotify:artist:6PvvGcCY2XtUcSRld1Wilr
So!YoON!,spotify:artist:7H5EC2qaylGun66YeRrVHg
South Club,spotify:artist:4ZVqQ5bLpSef3QmZP3gGnK
